,correlation,pvalue,abs_corr,Module,GS_PD
PGRMC1,0.7885979005767625,2.82688150559799e-11,0.7885979005767625,green,0.599506021712744
COL21A1,0.7873976280024906,3.175224405658491e-11,0.7873976280024906,green,0.61158867302263
EZR,0.7859108974254481,3.6630224520029136e-11,0.7859108974254481,green,0.643006048714226
GLIPR2,0.7854049370196559,3.8445893026845166e-11,0.7854049370196559,lightcyan,0.645029965557689
ENSSSCG00000036618,0.7851048541816716,3.9562575173676034e-11,0.7851048541816716,lightcyan,0.558435972492747
FGFR1,0.7848326869569694,4.0601806962027877e-11,0.7848326869569694,green,0.57641180701243
MFAP2,0.7847089560411709,4.108273324861758e-11,0.7847089560411709,green,0.677514093685077
ENSSSCG00000033909,0.7838452976585029,4.459259456914974e-11,0.7838452976585029,lightcyan,0.562071430053874
LCP1,0.7830471471060394,4.808638813706057e-11,0.7830471471060394,lightcyan,0.576436227975447
SERHL2,0.7830228250698077,4.819680858189114e-11,0.7830228250698077,green,0.775656200371177
MGP,0.7825331384487644,5.047155877501399e-11,0.7825331384487644,lightgreen,0.663924597080396
ENSSSCG00000013849,0.7822930732478162,5.162341958085268e-11,0.7822930732478162,lightgreen,0.586972565092582
ENSSSCG00000039071,0.7815218719563362,5.549400329912444e-11,0.7815218719563362,green,0.581429647274131
COL5A2,0.7809137873934622,5.873746593302645e-11,0.7809137873934622,green,0.501592319387083
IGFBP4,0.7796357680489844,6.614686862671773e-11,0.7796357680489844,green,0.628700827270912
TP53I11,0.7789401551503244,7.054207219546258e-11,0.7789401551503244,green,0.693691261237929
TUBA1A,0.778928443926486,7.061837652540755e-11,0.778928443926486,green,0.594995521127771
PTPN6,0.7787621602326248,7.171023867362479e-11,0.7787621602326248,lightcyan,0.574755434109893
CASP7,0.7780728687205244,7.640857684636075e-11,0.7780728687205244,greenyellow,0.642998421386681
MARCKS,0.7776411614160001,7.949758879476165e-11,0.7776411614160001,lightgreen,0.54824930686069
